縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
高雄市,七賢安居,中央(住都中心),606,111/12/1,111/12/30,(預定)117/6/30,興建中
高雄市,興邦安居B,中央(住都中心),960,112/6/29,113/6/7,(預定)117/3/31,興建中
高雄市,前鎮亞灣智慧公宅(第一期)新建統包工程,高雄市政府,634,111/10/11,112/8/3,(預定)116/6/30,興建中
高雄市,草衙安居,中央(住都中心),238,111/11/30,112/10/12,(預定)116/4/30,興建中
高雄市,興邦安居A,中央(住都中心),663,111/11/30,112/11/8,(預定)116/7/31,興建中
高雄市,水秀安居,中央(住都中心),297,111/12/30,113/2/15,(預定)116/9/18,興建中
高雄市,山明安居,中央(住都中心),258,111/12/30,113/2/15,(預定)116/9/18,興建中
高雄市,鳳誠安居,中央(住都中心),320,110/3/17,110/11/19,(預定)114/4/30,興建中
高雄市,鳳翔安居,中央(住都中心),440,110/7/30,111/7/15,(預定)115/8/7,興建中
高雄市,鳳松安居,中央(住都中心),411,110/3/17,110/11/19,(預定)114/4/30,興建中
高雄市,中民安居,中央(住都中心),620,112/10/26,113/9/16,(預定)117/1/31,興建中
高雄市,大寮社會住宅,高雄市政府,384,111/8/9,112/5/23,(預定)115/12/31,興建中
高雄市,仁武安居,中央(住都中心),340,110/10/19,111/7/26,(預定)114/8/31,興建中
高雄市,岡山大鵬九村社會住宅,高雄市政府,625,111/7/7,112/4/28,(預定)115/12/31,興建中
高雄市,海景安居C,中央(住都中心),398,112/12/15,(預定)114/3/31,(預定)117/6/30,已決標待開工
高雄市,永清安居C,中央(住都中心),442,113/11/27,(預定)115/4/30,(預定)118/1/31,已決標待開工
高雄市,左營區機20都市更新案,高雄市政府,71,113/9/27,(預定)116/3/25,(預定)122/3/24,已決標待開工
高雄市,新盛好室,中央(住都中心),196,113/2/2,(預定)114/2/28,(預定)117/12/31,已決標待開工
高雄市,勝利安居A,中央(住都中心),1865,112/9/28,(預定)114/1/31,(預定)117/10/31,已決標待開工
高雄市,勝利安居C,中央(住都中心),1150,113/9/26,(預定)115/1/30,(預定)118/10/31,已決標待開工
高雄市,勝利安居B,中央(住都中心),1432,113/5/10,(預定)114/9/30,(預定)118/6/30,已決標待開工
高雄市,勝利安居D,中央(住都中心),415,113/10/25,(預定)114/11/30,(預定)118/3/6,已決標待開工
高雄市,福清安居,中央(住都中心),1220,113/11/29,(預定)114/12/31,(預定)118/11/30,已決標待開工
高雄市,橋新安居A,中央(住都中心),286,113/12/25,(預定)115/2/27,(預定)118/1/31,已決標待開工
高雄市,橋新安居B,中央(住都中心),505,113/12/24,(預定)115/1/19,(預定)118/5/12,已決標待開工
