縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
臺北市,萬華安居A,中央(住都中心),158,110/1/21,110/12/23,(預定)114/3/18,興建中
臺北市,萬華安居B,中央(住都中心),142,110/1/21,110/12/23,(預定)114/3/18,興建中
臺北市,福民社會住宅1區,臺北市政府,131,111/1/17,111/4/13,(預定)115/6/30,興建中
臺北市,福星段都更案基地,臺北市政府,173,104/9/15,111/9/7,(預定)114/9/30,興建中
臺北市,凌霄好室,中央(住都中心),112,112/8/18,113/11/15,(預定)117/3/31,興建中
臺北市,臺北市萬華區直興段一小段373地號等12筆土地都市更新案,中央(住都中心),3,109/1/6,110/1/19,(預定)114/12/1,興建中
臺北市,雙連段三小段689地號等40筆土地都更案基地,臺北市政府,20,-,111/8/8,(預定)119/10/31,興建中
臺北市,培英社會住宅,臺北市政府,96,108/10/1,109/2/27,(預定)114/8/31,興建中
臺北市,錦州社會住宅,臺北市政府,387,108/8/27,109/2/17,(預定)114/8/31,興建中
臺北市,力行社會住宅,臺北市政府,35,112/2/23,112/6/28,(預定)114/1/31,興建中
臺北市,景豐社會住宅1區,臺北市政府,90,109/3/26,109/10/5,(預定)114/6/30,興建中
臺北市,樟新水岸社會住宅,臺北市政府,192,108/4/18,108/12/18,(預定)113/12/31,興建中
臺北市,興隆A區社會住宅,臺北市政府,340,108/2/20,108/7/1,(預定)113/7/31,興建中
臺北市,興隆E區社會住宅,臺北市政府,263,108/3/15,108/7/1,(預定)113/12/31,興建中
臺北市,興隆I區社會住宅,臺北市政府,500,109/3/20,109/6/18,(預定)114/9/30,興建中
臺北市,木柵段三小段623地號等39筆土地都更案基地,臺北市政府,282,-,111/8/26,(預定)115/9/30,興建中
臺北市,玉成社會住宅,臺北市政府,410,108/11/14,109/10/30,(預定)115/1/31,興建中
臺北市,南港機廠社會住宅1區,臺北市政府,1442,108/2/27,108/2/1,(預定)114/4/30,興建中
臺北市,經貿社會住宅,臺北市政府,118,109/6/19,109/11/12,(預定)113/12/31,興建中
臺北市,南港玉成都市更新案,中央(住都中心),150,110/9/17,113/5/9,(預定)116/5/31,興建中
臺北市,臺北市南港區南港段一小段19-1地號等34筆土地都市更新案,中央(住都中心),6,108/8/27,111/2/23,(預定)118/6/22,興建中
臺北市,文德段二小段232地號等4筆土地都更案基地,臺北市政府,30,-,113/3/18,(預定)117/9/30,興建中
臺北市,百齡水岸社會住宅,臺北市政府,266,109/3/18,109/8/10,(預定)114/5/31,興建中
臺北市,臺北市士林區光華段四小段508-6地號等29筆土地都市更新案,中央(住都中心),5,108/2/1,108/12/30,(預定)114/7/29,興建中
臺北市,福國社會住宅,臺北市政府,365,108/8/26,109/6/12,(預定)114/6/30,興建中
臺北市,臺北市北投區奇岩段三小段1-1地號等11筆土地都市更新案,中央(住都中心),2,-,111/2/19,(預定)114/1/31,興建中
臺北市,臺北市北投區振興段四小段166-2地號等34筆土地都市更新案,中央(住都中心),1,109/1/2,110/2/20,(預定)114/12/31,興建中
臺北市,三興社會住宅,臺北市政府,560,108/7/8,108/9/4,(預定)114/12/31,興建中
臺北市,松信社會住宅新建工程,臺北市政府,90,111/10/20,112/3/15,(預定)117/12/31,興建中
臺北市,雅祥段一小段578地號等15筆土地都更案基地,臺北市政府,106,-,113/6/7,(預定)117/12/31,興建中
臺北市,信義兒福B1-1基地公辦都市更新案,中央(住都中心),72,109/1/15,111/6/7,(預定)114/10/16,興建中
臺北市,臺北市松山區延吉段一小段85地號等37筆土地都市更新案,中央(住都中心),7,113/2/6,(預定)114/8/31,(預定)117/8/31,已決標待開工
臺北市,金華社會住宅(特四、五),臺北市政府,515,112/2/23,(預定)114/12/31,(預定)119/8/31,已決標待開工
臺北市,臺北市大安區大安段三小段243地號等15筆土地都市更新案,中央(住都中心),2,108/7/24,(預定)114/2/1,(預定)117/3/1,已決標待開工
臺北市,臺北市大安區通化段五小段242地號等10筆土地都市更新案,中央(住都中心),1,110/9/9,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺北市,臺北市中正區南海段二小段41-4地號等55筆土地都市更新案,中央(住都中心),2,112/4/17,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺北市,臺北市大同區文昌段二小段595地號等41筆土地都市更新案,中央(住都中心),6,111/12/23,(預定)115/3/31,(預定)117/3/31,已決標待開工
臺北市,臺北市中山區長春段二小段626地號等24筆(原20筆)土地都市更新計畫案,中央(住都中心),8,112/5/24,(預定)114/12/31,(預定)117/10/31,已決標待開工
臺北市,保儀安居,中央(住都中心),220,113/6/7,(預定)114/8/31,(預定)117/12/31,已決標待開工
臺北市,慶仁安居,中央(住都中心),1100,113/1/17,(預定)114/3/31,(預定)118/5/31,已決標待開工
臺北市,光華好室,中央(住都中心),162,113/6/12,(預定)114/9/30,(預定)118/2/28,已決標待開工
臺北市,臺北市南港區新光段二小段134地號等13筆(原10筆)土地都市更新案,中央(住都中心),2,113/6/5,(預定)114/4/1,(預定)117/8/1,已決標待開工
臺北市,南港區南港機廠社會住宅2區,臺北市政府,305,113/12/4,(預定)114/12/31,(預定)118/2/28,已決標待開工
臺北市,石壁潭社會住宅1區,臺北市政府,481,113/10/18,(預定)114/4/30,(預定)118/9/30,已決標待開工
臺北市,芝山安居,中央(住都中心),825,113/2/27,(預定)114/5/31,(預定)118/12/31,已決標待開工
臺北市,臺北市士林區蘭雅段一小段52地號等23筆(原18筆)土地都市更新案,中央(住都中心),2,113/4/30,(預定)115/4/30,(預定)119/4/30,已決標待開工
臺北市,信義兒福B1-2基地公辦都市更新案,中央(住都中心),159,111/8/1,(預定)114/10/6,(預定)120/3/5,已決標待開工
臺北市,延壽Ｐ出租國宅,臺北市政府,99,-,-,87/7/31,既有
臺北市,延吉平宅,臺北市政府,120,60/1/31,-,60/1/31,既有
臺北市,懷生出租國宅,臺北市政府,205,-,-,86/12/31,既有
臺北市,大理街出租國宅,臺北市政府,35,-,-,87/9/1,既有
臺北市,中正出租國宅,臺北市政府,523,-,-,71/2/1,既有
臺北市,西寧出租國宅,臺北市政府,475,-,66/2/23,71/7/14,既有
臺北市,華昌出租國宅,臺北市政府,490,-,66/11/24,71/4/28,既有
臺北市,龍山綜合大樓出租國宅,臺北市政府,40,-,80/4/24,83/10/21,既有
臺北市,福民平宅,臺北市政府,180,-,65/5/5,66/11/23,既有
臺北市,龍山寺聯開宅,臺北市政府,4,-,97/5/28,100/3/15,既有
臺北市,臺北市大龍老人住宅,臺北市政府,70,97/5/31,97/9/30,99/8/31,既有
臺北市,敦煌社會住宅,臺北市政府,3,-,96/4/19,98/11/2,既有
臺北市,大龍峒社會住宅,臺北市政府,110,-,98/3/3,100/8/23,既有
臺北市,榮星出租國宅,臺北市政府,34,-,-,88/11/26,既有
臺北市,臺北市朱崙老人公寓,臺北市政府,45,89/12/31,90/2/16,93/3/23,既有
臺北市,臺北市中山老人住宅暨服務中心,臺北市政府,112,97/8/31,97/10/31,99/5/31,既有
臺北市,行天宮站社會住宅,臺北市政府,30,-,95/10/19,99/1/5,既有
臺北市,軍功出租國宅,臺北市政府,33,-,-,72/7/15,既有
臺北市,萬芳Ｃ出租國宅,臺北市政府,228,-,-,85/5/6,既有
臺北市,萬芳社區出租國宅,臺北市政府,310,-,-,86/1/19,既有
臺北市,萬美出租國宅,臺北市政府,192,-,70/12/23,73/8/3,既有
臺北市,萬寧出租國宅,臺北市政府,10,-,82/6/22,86/10/30,既有
臺北市,萬樂出租國宅,臺北市政府,224,-,-,73/8/3,既有
臺北市,安康平宅,臺北市政府,304,-,-,60/1/10,既有
臺北市,萬隆站社會住宅,臺北市政府,41,-,95/5/10,100/11/17,既有
臺北市,景文社會住宅,臺北市政府,42,-,99/3/15,101/11/12,既有
臺北市,興隆社會住宅D1區,臺北市政府,272,102/1/31,102/7/17,104/5/15,既有
臺北市,台肥出租國宅,臺北市政府,28,-,-,74/4/6,既有
臺北市,南港一號出租國宅,臺北市政府,287,-,-,88/8/21,既有
臺北市,基河三期中繼住宅AB區,臺北市政府,22,-,90/1/1,90/1/1,既有
臺北市,基河三期中繼住宅CD區,臺北市政府,306,-,90/1/1,90/1/1,既有
臺北市,東湖C出租國宅,臺北市政府,88,-,80/11/30,85/9/30,既有
臺北市,東湖Ｅ基地出租國宅(原民會),臺北市政府,40,-,-,84/2/13,既有
臺北市,貿三出租國宅,臺北市政府,114,-,-,73/3/14,既有
臺北市,港墘聯開宅,臺北市政府,3,-,98/4/14,99/11/23,既有
臺北市,延平出租國宅,臺北市政府,42,-,-,89/12/11,既有
臺北市,永平中繼住宅,臺北市政府,37,-,78/8/10,93/12/15,既有
臺北市,永平社會住宅,臺北市政府,51,-,89/8/10,93/12/23,既有
臺北市,臺北市陽明老人公寓,臺北市政府,97,83/12/31,84/4/30,86/12/31,既有
臺北市,奇岩出租國宅,臺北市政府,72,-,-,69/12/16,既有
臺北市,大同之家,臺北市政府,60,-,-,60/1/1,既有
臺北市,四四東村C出租國宅,臺北市政府,30,-,-,84/7/10,既有
臺北市,健康社會住宅,臺北市政府,507,103/10/14,103/12/17,106/12/26,新完工
臺北市,臺北市大安區懷生段二小段16地號等6筆土地都市更新案,中央(住都中心),2,-,106/7/11,111/3/24,新完工
臺北市,臺北市中正區中正段一小段66地號等10筆(原11筆)土地都市更新案,中央(住都中心),12,107/7/18,108/3/19,112/3/28,新完工
臺北市,萬華青年社會住宅1區,臺北市政府,273,104/11/11,105/2/18,107/12/22,新完工
臺北市,萬華青年社會住宅2區,臺北市政府,518,106/4/21,106/7/17,112/11/30,新完工
臺北市,莒光社會住宅,臺北市政府,201,106/10/3,106/12/28,111/6/14,新完工
臺北市,福星社會住宅,臺北市政府,255,108/3/25,108/10/23,112/6/27,新完工
臺北市,臺北市萬華區漢中段三小段24地號等39筆土地都市更新案,中央(住都中心),4,-,107/8/8,111/7/26,新完工
臺北市,臺北市萬華區萬大段一小段519-2地號等35筆土地都市更新案,中央(住都中心),1,-,109/2/1,112/12/18,新完工
臺北市,大橋頭社會住宅,臺北市政府,47,-,105/4/7,108/6/25,新完工
臺北市,明倫社會住宅,臺北市政府,380,106/1/12,106/3/10,109/8/14,新完工
臺北市,斯文社會住宅,臺北市政府,138,107/5/17,107/9/13,111/1/24,新完工
臺北市,新興社會住宅(新興市場整建),臺北市政府,37,-,107/7/16,107/12/7,新完工
臺北市,臺北市中山區德惠段二小段813-1地號等6筆土地都市更新案,中央(住都中心),1,-,109/4/24,112/2/3,新完工
臺北市,北安都更分回戶,臺北市政府,44,-,108/4/25,113/4/24,新完工
臺北市,興隆社會住宅D2區,臺北市政府,510,103/4/16,103/11/13,107/5/9,新完工
臺北市,木柵社會住宅,臺北市政府,119,106/5/17,106/8/17,109/4/27,新完工
臺北市,和興水岸社會住宅,臺北市政府,174,108/4/19,108/11/26,112/8/14,新完工
臺北市,臺北市文山區萬隆段二小段519地號等23筆土地都市更新案,中央(住都中心),40,-,107/7/16,112/4/20,新完工
臺北市,臺北市文山區興安段四小段122地號等27筆土地都市更新案,中央(住都中心),12,-,108/12/2,112/3/27,新完工
臺北市,臺北市文山區萬芳段二小段183-1地號等30筆土地都市更新案,中央(住都中心),1,-,109/8/11,112/6/1,新完工
臺北市,溪州都更分回戶,臺北市政府,20,-,109/5/11,113/2/19,新完工
臺北市,中南社會住宅,臺北市政府,119,106/7/19,106/11/9,109/12/31,新完工
臺北市,東明社會住宅,臺北市政府,700,104/12/28,105/2/24,108/7/31,新完工
臺北市,小彎社會住宅,臺北市政府,341,106/11/15,107/3/8,110/10/23,新完工
臺北市,瑞光社會住宅,臺北市政府,389,106/5/12,106/10/5,109/11/21,新完工
臺北市,舊宗社會住宅,臺北市政府,97,108/9/5,109/2/24,112/8/23,新完工
臺北市,行善社會住宅,臺北市政府,526,107/8/17,107/10/29,111/8/23,新完工
臺北市,金龍都更分回戶,臺北市政府,8,-,103/6/9,108/4/18,新完工
臺北市,臺北市內湖區石潭段三小段482地號等8筆土地都市更新案,中央(住都中心),1,-,107/10/30,110/10/5,新完工
臺北市,華榮社會住宅,臺北市政府,118,108/1/22,108/5/23,113/5/30,新完工
臺北市,臺北市士林區三玉段五小段445地號等20筆土地都市更新案,中央(住都中心),2,-,108/6/3,110/12/22,新完工
臺北市,臺北市士林區陽明段一小段19地號等12筆土地都市更新案,中央(住都中心),1,-,107/10/4,113/4/26,新完工
臺北市,洲美社會住宅,臺北市政府,144,-,105/3/15,106/7/11,新完工
臺北市,新奇岩社會住宅,臺北市政府,288,106/2/21,106/5/26,110/3/31,新完工
臺北市,臺北市北投區奇岩段五小段444地號等7筆土地都市更新案,中央(住都中心),3,-,109/3/4,113/2/21,新完工
臺北市,廣慈社會住宅3區,臺北市政府,476,107/4/12,107/8/9,112/9/28,新完工
臺北市,信義區廣慈社會住宅2區,臺北市政府,522,106/10/6,107/1/10,111/1/21,新完工
臺北市,信義區廣慈社會住宅1區,臺北市政府,522,106/10/6,107/1/10,110/12/30,新完工
臺北市,六張犁社會住宅,臺北市政府,722,107/5/4,107/9/18,113/6/26,新完工
臺北市,信安都更分回戶,臺北市政府,79,101/8/16,109/1/2,112/12/21,新完工
臺北市,永吉都更分回戶,臺北市政府,13,-,108/6/19,111/11/11,新完工
臺北市,延吉好室,中央(住都中心),160,109/11/11,110/12/30,(預定)114/3/2,興建中
臺北市,臺北市松山區延吉段一小段119地號等8筆土地都市更新計畫案,中央(住都中心),3,-,108/7/25,(預定)114/6/30,興建中
臺北市,臺北市大安區龍泉段一小段123地號等6筆土地都市更新案,中央(住都中心),7,109/2/20,110/9/14,(預定)114/12/31,興建中
臺北市,臺北市大安區辛亥段四小段496-13地號等14筆土地都市更新案,中央(住都中心),2,109/2/7,110/4/1,(預定)114/12/31,興建中
臺北市,臺北市大安區瑞安段三小段215地號等25筆土地都市更新案,中央(住都中心),3,112/3/30,113/8/12,(預定)115/10/12,興建中
臺北市,南海段都更案基地,臺北市政府,214,101/6/25,112/10/30,(預定)115/10/31,興建中
臺北市,臺北市中正區永昌段五小段142-1地號等38筆土地都市更新案,中央(住都中心),2,109/3/5,110/10/15,(預定)114/12/31,興建中
臺北市,臺北市中正區臨沂段一小段495-4地號等9筆土地都市更新案,中央(住都中心),24,109/8/21,110/6/21,(預定)114/12/31,興建中
臺北市,臺北市中正區永昌段四小段44地號等43筆土地都市更新案,中央(住都中心),22,107/11/16,109/1/16,(預定)114/5/1,興建中
臺北市,河堤段二小段21地號等38筆土地都更案基地,臺北市政府,43,-,113/2/20,(預定)121/2/29,興建中
臺北市,萬華安居A,中央(住都中心),158,110/1/21,110/12/23,(預定)114/3/18,興建中
臺北市,萬華安居B,中央(住都中心),142,110/1/21,110/12/23,(預定)114/3/18,興建中
臺北市,福民社會住宅1區,臺北市政府,131,111/1/17,111/4/13,(預定)115/6/30,興建中
臺北市,福星段都更案基地,臺北市政府,173,104/9/15,111/9/7,(預定)114/9/30,興建中
臺北市,凌霄好室,中央(住都中心),112,112/8/18,113/11/15,(預定)117/3/31,興建中
臺北市,臺北市萬華區直興段一小段373地號等12筆土地都市更新案,中央(住都中心),3,109/1/6,110/1/19,(預定)114/12/1,興建中
臺北市,雙連段三小段689地號等40筆土地都更案基地,臺北市政府,20,-,111/8/8,(預定)119/10/31,興建中
臺北市,培英社會住宅,臺北市政府,96,108/10/1,109/2/27,(預定)114/8/31,興建中
臺北市,錦州社會住宅,臺北市政府,387,108/8/27,109/2/17,(預定)114/8/31,興建中
臺北市,力行社會住宅,臺北市政府,35,112/2/23,112/6/28,(預定)114/1/31,興建中
臺北市,景豐社會住宅1區,臺北市政府,90,109/3/26,109/10/5,(預定)114/6/30,興建中
臺北市,樟新水岸社會住宅,臺北市政府,192,108/4/18,108/12/18,(預定)113/12/31,興建中
臺北市,興隆A區社會住宅,臺北市政府,340,108/2/20,108/7/1,(預定)113/7/31,興建中
臺北市,興隆E區社會住宅,臺北市政府,263,108/3/15,108/7/1,(預定)113/12/31,興建中
臺北市,興隆I區社會住宅,臺北市政府,500,109/3/20,109/6/18,(預定)114/9/30,興建中
臺北市,木柵段三小段623地號等39筆土地都更案基地,臺北市政府,282,-,111/8/26,(預定)115/9/30,興建中
臺北市,玉成社會住宅,臺北市政府,410,108/11/14,109/10/30,(預定)115/1/31,興建中
臺北市,南港機廠社會住宅1區,臺北市政府,1442,108/2/27,108/2/1,(預定)114/4/30,興建中
臺北市,經貿社會住宅,臺北市政府,118,109/6/19,109/11/12,(預定)113/12/31,興建中
臺北市,南港玉成都市更新案,中央(住都中心),150,110/9/17,113/5/9,(預定)116/5/31,興建中
臺北市,臺北市南港區南港段一小段19-1地號等34筆土地都市更新案,中央(住都中心),6,108/8/27,111/2/23,(預定)118/6/22,興建中
臺北市,文德段二小段232地號等4筆土地都更案基地,臺北市政府,30,-,113/3/18,(預定)117/9/30,興建中
臺北市,百齡水岸社會住宅,臺北市政府,266,109/3/18,109/8/10,(預定)114/5/31,興建中
臺北市,臺北市士林區光華段四小段508-6地號等29筆土地都市更新案,中央(住都中心),5,108/2/1,108/12/30,(預定)114/7/29,興建中
臺北市,福國社會住宅,臺北市政府,365,108/8/26,109/6/12,(預定)114/6/30,興建中
臺北市,臺北市北投區奇岩段三小段1-1地號等11筆土地都市更新案,中央(住都中心),2,-,111/2/19,(預定)114/1/31,興建中
臺北市,臺北市北投區振興段四小段166-2地號等34筆土地都市更新案,中央(住都中心),1,109/1/2,110/2/20,(預定)114/12/31,興建中
臺北市,三興社會住宅,臺北市政府,560,108/7/8,108/9/4,(預定)114/12/31,興建中
臺北市,松信社會住宅新建工程,臺北市政府,90,111/10/20,112/3/15,(預定)117/12/31,興建中
臺北市,雅祥段一小段578地號等15筆土地都更案基地,臺北市政府,106,-,113/6/7,(預定)117/12/31,興建中
臺北市,信義兒福B1-1基地公辦都市更新案,中央(住都中心),72,109/1/15,111/6/7,(預定)114/10/16,興建中
臺北市,臺北市松山區延吉段一小段85地號等37筆土地都市更新案,中央(住都中心),7,113/2/6,(預定)114/8/31,(預定)117/8/31,已決標待開工
臺北市,金華社會住宅(特四、五),臺北市政府,515,112/2/23,(預定)114/12/31,(預定)119/8/31,已決標待開工
臺北市,臺北市大安區大安段三小段243地號等15筆土地都市更新案,中央(住都中心),2,108/7/24,(預定)114/2/1,(預定)117/3/1,已決標待開工
臺北市,臺北市大安區通化段五小段242地號等10筆土地都市更新案,中央(住都中心),1,110/9/9,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺北市,臺北市中正區南海段二小段41-4地號等55筆土地都市更新案,中央(住都中心),2,112/4/17,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺北市,臺北市大同區文昌段二小段595地號等41筆土地都市更新案,中央(住都中心),6,111/12/23,(預定)115/3/31,(預定)117/3/31,已決標待開工
